0,2,4,6,8
1,0,2,4,6
2,4,6,8,11
3,1,0,2,4
4,6,8,11,14
5,3,1,0,2
6,8,11,14,17
7,5,3,1,0
8,11,14,17,20
9,7,5,3,1
10,13,16,19,23
11,14,17,20,24
12,9,7,5,3
13,16,19,23,27
14,17,20,24,28
15,12,9,7,5
16,19,23,27,31
17,20,24,28,32
18,21,25,29,33
18,15,12,9,7
19,23,27,31,35
20,24,28,32,36
21,25,29,33,37
22,18,21,25,29
22,18,15,12,9
23,27,31,35,39
24,28,32,36,41
25,29,33,37,42
26,22,18,21,25
26,22,18,15,12
27,31,35,39,44
28,32,36,41,47
29,33,37,42,48
30,26,22,18,21
30,26,22,18,15
31,35,39,44,50
32,36,41,47,53
33,37,42,48,54
34,30,26,22,18
35,39,44,50,57
36,41,47,53,60
37,42,48,54,61
38,34,30,26,22
39,44,50,57,64
40,36,41,47,53
41,47,53,60,67
42,48,54,61,68
43,38,34,30,26
44,50,57,64,72
45,40,36,41,47
46,40,36,41,47
47,53,60,67,75
48,54,61,68,76
49,43,38,34,30
50,57,64,72,80
51,45,40,36,32
51,45,40,36,41
52,46,40,36,32
52,46,40,36,41
53,60,67,75,83
54,61,68,76,84
55,49,43,38,34
56,50,57,64,72
57,64,72,80,88
58,51,45,40,36
59,52,46,40,45
59,52,46,40,36
60,67,75,83,92
61,68,76,84,93
62,55,49,43,38
63,56,50,57,64
64,72,80,88,97
65,58,51,45,40
66,59,52,46,40
67,75,83,92,101
68,76,84,93,102
68,76,84,93,103
71,63,56,50,57
71,63,56,50,44
72,80,88,97,108
73,65,58,51,45
74,66,59,52,46
75,83,92,101,112
76,84,93,103,114
79,71,63,56,50
80,88,97,108,119
81,73,65,58,51
82,74,66,59,52
83,92,101,112,123
84,93,103,114,125
87,79,71,63,56
88,97,108,119,130
89,81,73,65,58
90,99,110,121,132
91,82,74,66,59
92,101,112,123,135
93,103,114,125,137
96,87,79,71,63
97,108,119,130,142
98,89,81,73,65
99,110,121,132,144
100,91,82,74,66
101,112,123,135,148
102,93,103,114,125
103,114,125,137,151
104,115,126,138,152
105,94,85,77,69
107,96,87,79,71
108,119,130,142,156
109,98,89,81,73
110,121,132,144,155
111,100,91,82,74
112,123,135,148,161
113,102,93,103,114
114,125,137,151,164
115,126,138,152,165
116,105,94,85,77
118,107,96,87,79
119,130,142,156,169
120,109,98,89,81
121,132,144,155,141
122,133,145,159,171
122,111,100,91,82
123,135,148,161,173
124,113,102,93,103
125,137,151,164,176
126,138,152,165,177
127,116,105,94,85
129,118,107,96,87
130,142,156,169,183
130,142,156,169,184
131,120,109,98,89
132,144,155,141,129
133,122,111,100,91
133,145,159,171,186
134,122,133,145,159
134,122,111,100,91
135,148,161,173,189
136,124,113,102,93
137,151,164,176,192
138,152,165,177,193
139,127,116,105,94
140,128,117,106,95
141,129,118,107,96
142,156,169,184,201
143,131,120,109,98
144,155,141,129,118
145,159,171,186,204
146,134,122,133,145
146,134,122,111,100
147,158,143,131,120
148,161,173,189,207
149,135,148,161,173
150,136,124,113,102
151,164,176,192,210
152,165,177,193,211
153,139,127,116,105
154,140,128,117,106
155,141,129,118,107
156,169,184,201,219
157,143,131,120,109
158,143,131,120,109
159,171,186,204,222
160,146,134,122,133
160,146,134,122,111
161,173,189,207,225
162,149,135,148,161
163,150,136,124,113
164,176,192,210,228
165,177,193,211,229
166,178,194,212,230
166,180,196,214,232
167,154,140,128,117
168,156,169,184,201
169,184,201,219,237
170,157,143,131,120
171,186,204,222,240
172,160,146,134,122
173,189,207,225,243
174,162,149,135,148
175,163,150,136,124
176,192,210,228,246
176,192,210,228,247
177,193,211,229,248
178,194,212,230,249
180,196,214,232,251
181,167,154,140,128
182,168,156,169,183
182,168,156,169,184
183,169,184,201,219
184,201,219,237,256
185,170,157,143,131
186,204,222,240,259
187,172,160,146,134
188,172,160,146,134
189,207,225,243,262
190,174,162,149,135
191,175,163,150,136
192,210,228,246,265
192,210,228,247,266
193,211,229,248,267
196,214,232,251,270
197,181,167,154,140
198,181,167,154,140
199,182,168,156,169
200,183,169,184,201
201,219,237,256,275
202,220,238,257,274
203,185,170,157,143
204,222,240,259,277
205,187,172,160,146
206,188,172,160,146
207,225,243,262,280
208,190,174,162,149
209,191,175,163,150
210,228,246,265,283
210,228,247,266,284
211,229,248,267,285
214,232,251,270,288
215,197,181,167,154
216,198,181,167,154
217,199,182,168,156
218,200,183,169,184
219,237,256,275,293
220,238,257,274,255
221,203,185,170,157
222,240,259,277,295
223,205,187,172,160
224,206,188,172,160
225,243,262,280,299
226,208,190,174,162
227,209,191,175,163
228,246,265,283,302
228,247,266,284,303
229,248,267,285,304
232,251,270,288,307
233,215,197,181,167
234,216,198,181,167
235,217,199,182,168
236,218,200,183,169
237,256,275,293,312
238,257,274,255,236
239,221,203,185,170
240,259,277,295,314
241,223,205,187,172
242,224,206,188,172
243,262,280,299,318
244,226,208,190,174
245,227,209,191,175
246,265,283,302,321
247,266,284,303,322
248,267,285,304,323
250,231,213,195,179
251,270,288,307,326
252,233,215,197,181
253,234,216,198,181
254,235,217,199,182
255,236,218,200,183
256,275,293,312,331
257,274,255,236,218
258,239,221,203,185
259,277,295,314,334
260,241,223,205,187
261,242,224,206,188
262,280,299,318,338
263,244,226,208,190
264,245,227,209,191
265,283,302,321,314
266,284,303,322,341
267,285,304,323,342
269,250,231,213,195
270,288,307,326,345
271,252,233,215,197
272,253,234,216,198
273,254,235,217,199
274,255,236,218,200
275,293,312,331,350
276,258,239,221,203
277,295,314,334,353
278,260,241,223,205
279,261,242,224,206
280,299,318,338,357
281,263,244,226,208
282,264,245,227,209
283,302,321,314,334
284,303,322,341,360
285,304,323,342,361
287,269,250,231,213
288,307,326,345,365
289,271,252,233,215
290,272,253,234,216
291,273,254,235,217
292,274,255,236,218
293,312,331,350,346
294,276,258,239,221
295,314,334,353,373
296,278,260,241,223
297,279,261,242,224
298,317,337,356,351
299,318,338,357,376
300,281,263,244,226
301,282,264,245,227
302,321,314,334,353
303,322,341,360,380
304,323,342,361,381
305,286,268,249,230
306,287,269,250,231
307,326,345,365,386
308,289,271,252,233
309,290,272,253,234
310,291,273,254,235
311,292,274,255,236
312,331,350,346,366
313,294,276,258,239
314,334,353,373,395
315,296,278,260,241
316,297,279,261,242
317,337,356,351,332
318,338,357,376,399
319,300,281,263,244
320,301,282,264,245
321,314,334,353,373
322,341,360,380,403
324,305,286,268,249
325,306,287,269,250
326,345,365,386,409
327,308,289,271,252
328,309,290,272,253
329,310,291,273,254
330,311,292,274,255
330,311,292,274,257
331,350,346,366,387
332,313,294,276,258
333,352,372,394,417
